Codigo,Descripcion,Familia,Stock
V4151442,PORTANIDO INT.METALICO BLANCO,PEDROS,1
V45BBX2042,MEZCLA DE ORTIGAS 80 gr.,BUBIMEX,24
V45BBX2094,RODILLO JUGUETE MADERA 5 x 7 cm.,BUBIMEX,11
V45BBX25201,Collar Nylon Negro 20mm 40/55 cm,BUBIMEX,6
V45BBX25802,Arn‚s Nylon Verde  25 mm 75/120,BUBIMEX,15
V45BBX2630,COLLAR ANIMAL PRINT T-XL AZUL,BUBIMEX,14
V45BBX2660,COLLAR ANIMAL PRINT T-M BLANCO,BUBIMEX,10
/65,,,0
/70,,,0
/72,,,0
/87,,,0
07013960395,PAVO DAILYPLUS 12 KG.,ALIMENTO - CABALLOS,6
120DOG52674,"DOG SUM SUM GRAIN FR SALMON 3,5k",DAPAC PREMIUM SUMUM,50
120DOG52681,DOG SUM SUM GRAIN FRE SALMON 12k,DAPAC PREMIUM SUMUM,219
120DOG90AP,DOG SUM SUM FISH POWER 14 KG.,DAPAC PREMIUM SUMUM,86
121DAK98RA10,"ZEN DOG RABBIT LIGHT 10 K (64,90",DAPAC SUPER PREMIUM ZEN,61
121Z3832-TIENDA,ZEN PATE JABALI & PAVO 400 GR.,DAPAC SUPER PREMIUM ZEN,-10
